iter	Passed	Remaining
0	1	294
1	3	301
2	4	288
3	5	277
4	6	270
5	8	260
6	9	262
7	10	255
8	11	253
9	13	252
10	14	255
11	16	251
12	17	250
13	18	245
14	19	240
15	20	236
16	21	234
17	22	229
18	23	224
19	24	220
20	25	216
21	26	213
22	27	211
23	28	211
24	29	209
25	30	206
26	31	202
27	32	198
28	33	197
29	34	195
30	35	192
31	36	190
32	37	188
33	38	187
34	39	186
35	40	183
36	41	181
37	42	179
38	42	177
39	43	175
40	45	174
41	46	173
42	46	171
43	47	169
44	48	167
45	49	165
46	50	164
47	51	162
48	52	160
49	52	158
50	53	156
51	54	155
52	55	153
53	56	152
54	57	150
55	58	149
56	59	149
57	60	147
58	61	146
59	62	145
60	62	143
61	63	142
62	64	140
63	65	139
64	66	137
65	67	136
66	67	134
67	68	133
68	69	132
69	70	130
70	71	129
71	72	128
72	73	127
73	75	128
74	76	128
75	78	127
76	79	126
77	80	125
78	81	124
79	81	122
80	82	121
81	83	120
82	84	118
83	85	117
84	86	116
85	86	115
86	87	114
87	88	112
88	89	111
89	90	111
90	91	109
91	92	108
92	93	107
93	94	106
94	94	104
95	95	103
96	96	102
97	97	101
98	97	99
99	98	98
100	99	97
101	100	96
102	101	95
103	101	94
104	102	92
105	103	91
106	104	90
107	105	89
108	106	88
109	107	87
110	108	86
111	109	85
112	109	84
113	110	83
114	111	82
115	112	81
116	112	80
117	113	79
118	114	77
119	115	76
120	116	75
121	116	74
122	117	73
123	118	72
124	119	71
125	120	70
126	121	69
127	122	68
128	123	68
129	124	67
130	125	66
131	126	65
132	127	64
133	128	63
134	128	62
135	129	61
136	130	60
137	131	58
138	132	57
139	132	56
140	133	55
141	134	54
142	135	53
143	136	52
144	137	52
145	138	51
146	139	50
147	140	49
148	141	48
149	141	47
150	142	46
151	143	45
152	144	44
153	144	43
154	145	42
155	146	41
156	147	40
157	148	39
158	148	38
159	149	37
160	150	36
161	151	35
162	152	34
163	153	33
164	154	32
165	155	31
166	156	30
167	157	29
168	158	28
169	158	28
170	159	27
171	160	26
172	161	25
173	161	24
174	162	23
175	163	22
176	164	21
177	165	20
178	165	19
179	166	18
180	168	17
181	169	16
182	169	15
183	170	14
184	171	13
185	173	13
186	175	12
187	176	11
188	177	10
189	178	9
190	179	8
191	179	7
192	180	6
193	181	5
194	182	4
195	183	3
196	184	2
197	185	1
198	186	0
199	187	0
